time,voltage
8/1/17 16:00,1.02
8/1/17 16:01,1.025
8/1/17 16:02,1.026
8/1/17 16:03,1.03
8/1/17 16:04,1.032
8/1/17 16:05,1.035
8/1/17 16:06,1.033
8/1/17 16:07,1.032
8/1/17 16:08,1.031
8/1/17 16:09,1.028
8/1/17 16:10,1.029
8/1/17 16:11,1.033
8/1/17 16:12,1.036
8/1/17 16:13,1.04
8/1/17 16:14,1.045
8/1/17 16:15,1.046
8/1/17 16:16,1.048
8/1/17 16:17,1.046
8/1/17 16:18,1.052
8/1/17 16:19,1.053
8/1/17 16:20,1.044
8/1/17 16:21,1.046
8/1/17 16:22,1.048
8/1/17 16:23,1.045
8/1/17 16:24,1.038
8/1/17 16:25,1.049
8/1/17 16:26,1.053
8/1/17 16:27,1.055
8/1/17 16:28,1.06
8/1/17 16:29,1.062
8/1/17 16:30,1.056
8/1/17 16:31,1.05
8/1/17 16:32,1.053
8/1/17 16:33,1.052
8/1/17 16:34,1.04
8/1/17 16:35,1.043
8/1/17 16:36,1.045
8/1/17 16:37,1.042
8/1/17 16:38,1.041